10000000
Uniform random distribution,1,28927,28327,24251,30591,29619,27318,26403,26643,23135,20940
Uniform random distribution,2,15157,21091,17657,16421,15550,18668,19677,20657,18146,17219
Uniform random distribution,3,14040,13807,15099,12678,15804,16963,13154,13263,11400,11668
Uniform random distribution,4,8777,9056,9130,8211,9921,10829,9090,12621,11843,11415
Uniform random distribution,5,10413,8009,7454,7851,8233,9789,10054,10178,11972,13546
Uniform random distribution,6,7794,7262,7931,7931,6923,6744,7139,7075,9232,6634
Uniform random distribution,7,7093,7671,6495,6347,6862,7213,5614,6168,6644,6679
Uniform random distribution,8,8146,8216,6184,5688,5969,5686,7054,7678,6246,6983
Common value distribution,1,26143,19183,21615,23033,21800,24033,34998,28050,22047,36664
Common value distribution,2,15696,15781,15242,14506,14041,14610,12693,14235,22578,15627
Common value distribution,3,10354,11520,13285,12770,10429,10202,9496,9339,8527,9056
Common value distribution,4,8137,7363,6945,6379,6836,8265,7137,6640,6150,8159
Common value distribution,5,5996,6150,5700,6899,7650,8871,8408,6133,6092,7719
Common value distribution,6,6435,5505,5522,5586,6197,5481,6032,6127,5067,4800
Common value distribution,7,4504,5574,5915,5041,5615,4921,4625,4871,4529,5955
Common value distribution,8,6524,5414,4524,5063,6216,5644,5274,4714,4479,4395
All zeros,1,9194,9104,9667,12810,10652,10013,8477,9479,12068,8551
All zeros,2,7669,7160,6408,7206,6167,8860,7161,7548,7488,9517
All zeros,3,10208,5705,5822,6973,7568,7038,6037,7474,5974,5588
All zeros,4,5628,4795,5149,5766,6991,8371,7031,5258,5712,6146
All zeros,5,7394,8122,4999,4804,4657,6146,4717,4958,4876,7143
All zeros,6,6149,4235,5415,6972,7590,7762,4649,4706,4577,5088
All zeros,7,5019,5045,6518,5807,4498,5513,5307,4858,4556,4921
All zeros,8,5927,3606,4679,5881,4357,4270,5478,5229,4845,6126
All max int,1,12294,15564,13211,13794,12084,10573,11855,16634,14348,11074
All max int,2,7447,7325,7508,8664,8158,12384,15665,9808,9746,10317
All max int,3,11476,8453,7968,6940,7597,7618,9066,10294,9688,9152
All max int,4,7056,7419,8574,8684,8190,7540,5723,5670,5286,5402
All max int,5,5202,5487,5504,6269,5243,5889,5852,5337,6715,6039
All max int,6,4889,4907,5642,4526,4704,4575,4963,4960,4758,4841
All max int,7,4863,5735,5223,4735,5028,5066,6324,6349,7445,7144
All max int,8,6073,4808,4580,5663,5167,5334,5573,5912,8073,6359
Monotomically increasing,1,16213,14471,19471,15004,16096,14916,12502,14111,10162,9440
Monotomically increasing,2,8538,8383,8430,10608,8597,8483,9624,7558,8758,9512
Monotomically increasing,3,6958,5408,6301,6072,6342,6631,10273,9307,8434,7884
Monotomically increasing,4,6852,7583,8104,9347,9240,8587,8110,7466,9192,9676
Monotomically increasing,5,6387,7474,8850,7685,7582,7942,7837,8004,7862,8121
Monotomically increasing,6,7306,7325,10976,7120,8170,5852,5163,6433,6659,6197
Monotomically increasing,7,4721,5660,5818,6650,5376,5670,6222,6062,7046,5658
Monotomically increasing,8,4774,5695,5945,4955,6419,5488,5533,5361,5755,7323
